topic,category,question
Tugas Akhir,s,Apa persyaratan mahasiswa untuk mengambil Mata Kuliah Penulisan Proposal?
Tugas Akhir,c,Bagaimana proses penawaran topik Tugas Akhir oleh Prodi kepada mahasiswa berdasarkan tabel yang disediakan?
Kerja Praktik,s,Berapa lama durasi Kerja Praktik yang harus dijalani oleh mahasiswa?
Kerja Praktik,c,Bagaimana proses penempatan mahasiswa dalam Kerja Praktik berdasarkan kebutuhan perusahaan dan kesesuaian dengan bidang studi mahasiswa?
Penulisan Proposal,s,Apa saja karakteristik Tugas Akhir berbentuk penelitian menurut panduan yang diberikan?
Penulisan Proposal,c,Bagaimana lini masa pelaksanaan kelas Penulisan Proposal di Prodi Sarjana berdasarkan tabel yang disediakan?
Wisuda,s,Apa syarat-syarat yang harus dipenuhi oleh mahasiswa untuk bisa mengikuti prosesi wisuda?
Wisuda,c,Bagaimana proses administrasi dan persiapan acara wisuda di Fakultas Informatika?
Perwalian Kelas,s,Bagaimana cara mahasiswa melakukan perwalian kelas setiap semester?
Perwalian Kelas,c,Bagaimana sistem perwalian kelas di Fakultas Informatika memastikan mahasiswa mengambil mata kuliah sesuai dengan kurikulum yang berlaku?
Registrasi Mata Kuliah,s,Kapan biasanya periode registrasi mata kuliah dilakukan setiap semester?
Registrasi Mata Kuliah,c,Bagaimana proses penawaran mata kuliah kepada mahasiswa dan penentuan kuota dosen pembimbing mata kuliah di Fakultas Informatika?
